,WordText,CategoryLabel
486,Determination of States and Political Subdivisions Subject to Preclearance for Covered Practices,383
487,Practice-Based Preclearance,383
488,the Bureau of the Census,383
489,20 percent,393
490,ora,397
491,a year,391
492,the preceding decade,391
493,or20 percent,383
494,English,389
495,oron,383
496,at least 20 percent,393
497,the United States District Court,384
498,60 days,391
499,section 2284,390
500,28,397
501,Purpose,383
502,"February 9, 2011",391
503,76,397
504,Fed,383
505,7801,391
506,section 1151,391
507,Alaska,384
508,the Alaska Native Claims Settlement Act,383
509,43 U.S.C. 160143,391
510,160243,391
511,Alaska Native,384
512,the Bureau of the Census for the,383
513,10503(c,391
514,section 21,390
515,section 9 of this Act,390
516,10301,391
517,52 U.S.C. 10503(c)or,394
518,Alaskan,381
519,American Indians,383
520,2000d,391
521,Title IX Religious Discrimination in Schools and Colleges,390
522,the First Amendment to the Constitution of the United States,390
523,the Western Hemisphere Travel Initiative Improvement Act,385
524,Secretary22 U.S.C.,383
525,Individualized,383
526,section 360,390
527,8 U.S.C.,391
528,1503,391
529,the Stop Harmful,383
530,2017Stop,397
531,every 5 years,391
532,Commerce for Communications and Information,383
533,the Hate Crime Statistics Act,383
534,34 U.S.C. 41305,394
535,Threatened,383
536,anda range,380
537,a)(1)(F,380
538,30-day,391
539,45-day,391
540,fiscal years,391
541,the Higher Education Act,383
542,20,397
543,20 U.S.C. 1094(a,391
544,496(a)(5,397
545,the David Ray Hate Crimes Prevention Act,383
546,crime28,384
547,994,397
548,245,397
549,section 994,390
550,the United States Sentencing Commission,384
551,the Office of Juvenile Justice,383
552,the Department of Justice,383
553,juveniles,384
554,the Department of the Treasury,383
555,the Community Relations Service,383
556,"fiscal years 2017, 2018",391
557,2019,391
558,the Jeanette Acosta Invest,383
559,Women’s Health Act,383
560,ovarian,384
561,the Public Health Service Act,383
562,42 U.S.C. 243,394
563,the Preventive Services Guidelines of,383
564,the Health Resources and Service Administration,383
565,"October 30, 2017",391
566,"200,000,000",394
567,each of fiscal years 2019,391
568,42 U.S.C. 139642,394
569,300,397
570,the Federal Bar Association Charter Amendments Act,383
571,70501,397
572,36,397
573,70508,397
574,Section 70510,390
575,Section 70512,390
576,the Korematsu-Takai Civil Liberties Protection Act,9191306739292312949
577,Section 4001,390
578,Representatives,383
579,Declaratory Judgment,380
580,An Act,388
581,Congress2 U.S.C.,384
582,2a,397
583,Section 1,390
584,1(a,397
585,Finding of Constitutional Authority,383
586,section 3,390
587,site;in,383
588,"June 18, 1929",391
589,2 U.S.C.,391
590,later than 72 hours,392
591,3(d,397
592,Notice of Final Adopted Congressional Redistricting Plan,383
593,2020,391
594,"January 1, 2017",391
595,each of fiscal years 2017,391
596,243,397
597,the Safe Schools Improvement Act,383
598,"State
 ",383
599,section 4702,391
600,"Biennial
 ",383
601,"later than January 1, 2019",391
602,2 years,391
603,section 4703,390
604,168129,391
605,12101,391
606,section 2,390
607,Commission,383
608,section 701(h,391
609,42 U.S.C. 2000e(h)section,394
610,section 302(a)(1,390
611,section 101,390
612,12102,391
613,2000e(j,397
614,at least 40 years of age,391
615,13012,391
616,1311(a)(1,397
617,section 4(a,390
618,the Library of Congress,383
619,Board: The Board,383
620,10(a)(3,391
621,304,397
622,Investing,385
623,Tomorrow,391
624,industries;employer,383
625,Labor,383
626,provide;a,384
627,layoffs;a,381
628,anda description,380
629,section 181,390
630,29 U.S.C. 324129,394
631,the first 5 full fiscal years,391
632,134(d)(1)(A,397
633,the Workforce Innovation,383
634,29 U.S.C.,394
635,section 132(a)(2)(A,390
636,"40,000,000",394
637,later than December 1 of each year,391
638,the Federal Bureau of Investigation,383
639,Career,385
640,Technical Education Act,383
641,the Carl D. Perkins Career,9191306739292312949
642,2006,391
643,Section 9,390
644,20 U.S.C. 23072007,391
645,20122019,391
646,2023,391
647,section 112(a)(2,390
648,2322(a)(2,397
649,"less than $100,000",394
650,20 U.S.C.,391
651,20 U.S.C. 2342(c,394
652,Section 123,390
653,20 U.S.C. 2343,391
654,section 124(b)(10,390
655,the first program year,391
656,113(c)(2)(A,397
657,3 consecutive years,391
658,less than 10 percent,393
659,section 131,390
660,132,397
661,section 135(b)(9,390
662,Section 134(b,391
663,17,397
664,Principles of Environmental Justice,383
665,the First National People of Color Environmental Leadership Summit,383
666,October 24,391
667,"27, 1991",391
668,Washington,384
669,DC,384
670,the Working Group,383
671,Executive Order,383
672,65,397
673,50121,391
674,"August 16, 2000",391
675,Working Group,383
676,Working Group42 U.S.C.,383
677,4321,391
678,Federal Working Group on Environmental Justice,383
679,Agriculture,383
680,Commerce,383
681,Energy,383
682,Interior,383
683,Transportation,383
684,the Office of Environmental Justice,383
685,the Consumer Product Safety Commission,383
686,the Chemical Safety Board,383
687,the Office of Science and Technology Policy,383
688,the Council on Environmental Quality,383
689,Domestic Policy,383
690,the National Economic Council,383
691,the Council of Economic Advisers,383
692,the Environmental Protection Agency,383
693,the Department of Health and Human Services,383
694,the Department of Housing and Urban Development,383
695,Act;examine,386
696,the Federal agency,383
697,1969,391
698,42 U.S.C. 4321Implementation,394
699,42 U.S.C. 2000dImplementation,394
700,the Robert T. Stafford Disaster Relief and Emergency Assistance Act,383
701,Council on Environmental Quality: Notwithstanding,383
702,the National Environmental Policy Act,383
703,EPA Policy on Consultation and Coordination,383
704,hazards;in,383
705,552a,386
706,the Emergency Planning and Community Right-to-Know Act,383
707,1986,391
708,EJScreen,383
709,National Environmental Justice Advisory Council,383
710,"September 30, 1993",391
711,the Advisory Council,383
712,the day before the date,391
713,Advisory Council,383
714,section 10(e,390
715,later than 120 days,391
716,Advisory Council: The Administrator,383
717,the Environmental Justice Small Grants Program,383
718,the Environmental Justice Collaborative Problem-Solving Cooperative Agreement Program,383
719,the Community Action,383
720,"January 1, 2012",391
721,"10,000,000",394
722,2027,391
723,Federal Water Pollution Control Act,383
724,the Federal Water Pollution Control Act,390
725,33 U.S.C.,391
726,1342,391
727,Clean Air Act,390
728,the Clean Air Act,390
729,5)—in,397
730,9)—in,386
731,fourth,396
732,third,396
733,section 503(b)(3);if,390
734,the Environmental Justice Act,383
735,42 U.S.C. 7661b(b,394
736,section 108 or,390
737,112,397
738,33 U.S.C. 1365,391
739,1977,391
740,30,397
741,1201the Marine Protection,383
742,1972,391
743,6901the Clean Air Act,390
744,602,397
745,the National Security Diversity,383
746,Committee on Foreign Relations,383
747,the Committee on Armed Services,383
748,the Committee on Homeland Security,383
749,Governmental Affairs,383
750,the Select Committee on Intelligence,383
751,the Committee on Appropriations of the Senate,383
752,andthe Committee on Foreign Affairs,383
753,the Permanent Select Committee on Intelligence,383
754,the Committee on Appropriations of the House of Representatives,383
755,3902,391
756,agencythe Department of State;the United States Agency,383
757,International Development;the Department of Defense;the Armed,383
758,the intelligence community;the Office of International Affairs,383
759,the Office of Critical Infrastructure Protection of the Department of the Treasury;the National Security Division of the Department of Justice,383
760,the Federal Bureau of Investigation;the Department of Homeland Security;the Foreign Agricultural Service,383
761,the Department of Agriculture,383
762,the Foreign Service,383
763,the Foreign Service22 U.S.C.,383
764,3903,391
765,section 2101,390
766,the national security agency,383
767,the New Inclusion Quotient,383
768,the Office of Management and Budget entitled Standards for Maintaining,383
769,Presenting Federal Data,383
770,Ethnicity,383
771,Senior Executive Service,383
772,412,397
773,147,397
774,32,397
775,a period of,391
776,mesothelioma data collection,383
777,Title III,386
778,the Administrator of the Agency,383
779,Toxic Substances and Disease Registry,383
780,the National Institutes of Health,383
781,the Food and Drug Administration,383
782,the Centers for Medicare & Medicaid Services,383
783,Healthcare Research and Quality,383
784,the Department of Veterans Affairs,383
785,the Department of Defense,383
786,3009,391
787,later than 18 months,391
788,the Mary Jo Lawyer Spano Mesothelioma Patient Registry Act,383
789,later than 4 years,391
790,10-percent,393
791,that fiscal year,391
792,Section 1701,390
793,42 U.S.C. 3796dd,394
794,the first fiscal year beginning,391
795,the 3 fiscal years,391
796,3(a,397
797,the Walter Scott Notification Act,383
798,the fifth fiscal year beginning,391
799,3796dd,392
800,the Privacy Act,390
801,1974,391
802,"Travel
 ",383
803,"September 24, 2017",391
804,"March 6, 2017",391
805,Protecting the Nation From Foreign Terrorist Entry Into,383
806,the Fair TPS Act,390
807,Nicaragua,384
808,Termination of the Designation of Nicaragua for Temporary Protected Status,388
809,Haiti,384
810,Termination of the Designation of Haiti for Temporary Protected Status,388
811,El Salvador,384
812,Termination of the Designation of El Salvador for Temporary Protected Status,388
813,the Juvenile Justice and Delinquency Prevention Act,383
814,the Executive Order,383
815,Section 5039,390
816,the Hate Crime Victim Assistance Act,383
817,24-hour,392
818,"20,000,000",394
819,fiscal year,391
820,a fiscal year,391
821,the Hate Crimes Statistics Act,383
822,28 U.S.C. 534,394
823,the fiscal year 2018,391
824,the Office for Victims of Crime,383
825,the Office of Justice Programs,383
826,42 U.S.C. 3711,394
827,the first 180 days,391
828,the Prince Hall Freemasonry Stamp,383
829,Prince Hall Freemasonry,383
830,the Inventor Diversity,383
831,Chapter 11,390
832,later than January 31 of each year,391
833,the Combating Implicit Bias,390
834,Education,383
835,the Institute of Education Sciences,383
836,Mothers,381
837,Offspring Mortality,383
838,Improving Federal,383
839,the Centers for Disease Control and Prevention,383
840,Alliance for Innovation on Maternal Health Grant Program,383
841,the Associate Administrator of the Maternal and Child Health Bureau of the Health Resources and Services Administration,383
842,the Alliance for Innovation on Maternal Health Grant Program,383
843,AIM,383
844,system;obstetric,381
845,disorder;postpartum,383
846,CHIP,383
847,Medicaid,383
848,60,397
849,1903(v)(4)(A,397
850,the Social Security Act,383
851,1396b(v)(4)(A)60,397
852,dayone-year,391
853,2112(d)(2)(A,397
854,Medicaid: Section 1902(l,383
855,1396a(l,397
856,42 U.S.C. 1397ee(d,394
857,five years,391
858,section 1903(v)(4)(A)(i,390
859,section 2107(e)(1,390
860,the first day,391
861,quarter,391
862,2-year,391
863,the Every Child,383
864,the By the People Resolution,9191306739292312949
865,the Office of Government Ethics,383
866,Citizens United,384
867,the Federal Election Commission,383
868,Vietnam,384
869,Veterans Affairs,383
870,the Centers of Disease Control and Prevention of the Department of Health and Human Services,383
871,the Veterans Affairs Central Cancer Registry,383
872,the National Program of Cancer Registries,383
873,the Retail Justice Review Act,383
874,Applicability of Federal,383
875,the Protecting Newborns,383
876,NAS,383
877,CDC,383
878,Programs,383
879,Statistics,383
880,the Safe and Drug-Free Schools,383
881,State Application,383
882,20 U.S.C. 7114(d,394
883,7132,391
884,section 4151,390
885,20 U.S.C. 7151,391
886,Bullying,384
887,Federal and State Nondiscrimination Laws: Nothing,383
888,the Elementary and Secondary Education Act,383
889,section 4(1,391
890,the Department of Homeland Security,383
891,the Federal Rules of Criminal Procedure,383
892,4 hours,392
893,later than 5 days,391
894,the Women Inventor Development,383
895,the African American Civil Rights Network Act,383
896,U.S. Civil Rights Network Program,383
897,Subdivision 1 of Division B,383
898,54,397
899,chapter 3083,390
900,U.S. Civil Rights Network,383
901,Network,383
902,Service,383
903,the U.S. Civil Rights Network,383
904,section 308402(c,391
905,more than 10 years,391
906,any term of years,391
907,249,397
908,the Marijuana Data Collection,383
909,marijuana programs,380
910,the Department of Labor,383
911,10-year,391
912,yearly,391
913,the Federal and State,383
914,the next 5 years,391
915,the next 10 years,391
916,the Using Data To Help Protect Children and Families Act,383
917,the Child Abuse Prevention and Treatment Act,383
918,5105(e)(3,397
919,serves;a,381
920,up to 5,397
921,up to 30 percent,393
922,"the Committee on Health, Education",383
923,Pensions,381
924,the Committee on Education,383
925,section 112,390
926,the end of fiscal year 2022,391
927,the day,391
928,the Universal Security of,383
929,2017USA,397
930,Executive,381
931,the Department of Homeland Security Accountability,383
932,U.S. Customs,383
933,U.S. Immigration and Customs Enforcement,383
934,the Immigration and Nationality Act,383
935,the Tariff Act,390
936,1930,391
937,19,397
938,Border Protection,383
939,U.S. Customs and Border Protection,383
940,the Department of Homeland Security’s Office of Inspector General,383
941,U.S. Customs and Border Protection’s Office of Professional Responsibility,383
942,U.S. Immigration and Customs Enforcement’s Office of Professional Responsibility,383
943,section 3(d,390
944,Department of Homeland Security,383
945,the Congenital Heart Futures Reauthorization Act,383
946,CHD,383
947,CHD.Demographic,380
948,CHD;consider,383
949,the Health Insurance Portability,383
950,1996,391
951,"4,000,000",394
952,Section 425 of,390
953,Institute,383
954,NIH,383
955,the United States;causation,384
956,the Hold Accountable,383
957,The Department of Education Organization Act,383
958,the Inspector General of,383
959,the Department of Education,383
960,20 U.S.C. 3413(b)20,394
961,Levy Fines:,383
962,"October 1, 2020",391
963,"later than April 1, 2019",391
964,the Centers for Disease Control of,383
965,the National Intimate Partner and Sexual Violence Survey,383
966,the National Center for Injury Prevention,383
967,the preceding calendar year,391
968,LGBTQ,383
969,the Education Amendments,383
970,20 U.S.C. 1092(f)(13,391
971,Comptroller General Review,383
972,"later than August 1, 2020",391
973,"later than September 1, 2020",391
974,the Campus Sexual Violence Task Force,383
975,the Violence Against Women Act of 1994,390
976,more than 3 years,391
977,Task Force,386
978,the Education Amendments of,383
979,168120,391
980,1681,391
981,Section 13,390
982,the Securities Exchange Act,383
983,1934,391
984,section 4(d,390
985,the Age Discrimination,383
986,503,397
987,12203a,391
988,the Genetic Information Nondiscrimination Act,383
989,2008,391
990,42 U.S.C. 2000ff–6(f)a,394
991,section 4311(b,390
992,38,397
993,anda violation,380
994,section 40002(b)(13)(A,390
995,the Violence Against Women Act,383
996,1994,391
997,the Age Discrimination in Employment Act of 1967,390
998,42 U.S.C. 12111section,394
999,501,397
1000,the Rehabilitation Act of 1973,390
1001,29 U.S.C. 791discrimination,394
1002,42 U.S.C. 2000ffdiscrimination,394
1003,section 4311(a,390
1004,Form 10,390
1005,the first fiscal year,391
1006,A)(i,383
1007,the Sanctity of Life Act,383
1008,Chapter 81,390
1009,"1253, 1254",391
1010,Chapter 85,390
1011,1261,391
1012,the Concussion Awareness and Education Act,383
1013,Federal data collection efforts,383
1014,Concussion Research Commission,383
1015,a Concussion Research Commission,383
1016,nine,397
1017,Five,397
1018,chapter 57,390
1019,at least 4,397
1020,Federal department,383
1021,Every 6 months,391
1022,later than 36 months,391
1023,each of fiscal years 2020,391
1024,2024,391
1025,the Law Enforcement Inclusion Act,383
1026,2016,391
1027,42 U.S.C. 3796dd(b,394
1028,the Office of Biometric Identity Management Authorization Act,383
1029,the Office of Biometric Identity Management,383
1030,6 U.S.C. 341,394
1031,Office of Biometric Identity Management,383
1032,the Management Directorate of the Department,383
1033,"components;appropriate Federal, State",383
1034,Biometric Support Centers,383
1035,the Department’s Office,383
1036,section 222,390
1037,the Office for Civil Rights and Civil Liberties of the Department,383
1038,Office,383
1039,709,397
1040,the LGBT Data Inclusion,383
1041,the Computer Science for All Act,383
1042,the Bureau of Indian Education;a school,383
1043,25,397
1044,the Tribally Controlled Schools Act,390
1045,1988,391
1046,25 U.S.C. 2511,394
1047,1002,391
1048,4-year,391
1049,Historically Black Colleges,383
1050,Universities,383
1051,Asian,381
1052,Native American Pacific Islander,383
1053,American Indian Tribally,383
1054,Native Hawaiian,381
1055,Predominantly Black Institutions,383
1056,Native American,381
1057,Nontribal,380
1058,more than 15 percent,393
1059,more than 2.5 percent,393
1060,"250,000,000",394
1061,Richard B. Russell,380
1062,1751,391
1063,later than 5 years,391
1064,Census Accountability Act,390
1065,the Task Force,383
1066,CensusTask Force,386
1067,Sunset,384
1068,the Protecting Older Workers Against Discrimination,383
1069,Act of,390
1070,Section 4 of,390
1071,"29 U.S.C. 623
						",393
1072,"Amounts
 ",383
1073,Section 11,390
1074,29 U.S.C. 630,394
1075,"29 U.S.C. 633a
 Sections",393
1076,4(g,397
1077,7(b)(3,397
1078,4(g)(1,397
1079,42 U.S.C. 2000e–2,394
1080,717,397
1081,102,397
1082,42 U.S.C. 12112,391
1083,section 503,390
1084,section 102(e)(1,390
1085,I.,383
1086,1973,391
1087,section 501,390
1088,"29 U.S.C. 623
 ",393
1089,"Federal
 ",383
1090,Section 15,390
1091,42 U.S.C. 12117,391
1092,"Discriminatory
 ",380
1093,Black Maternal Health Week,383
1094,the National Center for Complimentary,383
1095,Integrative Health,383
1096,the Veteran Suicide Prevention Act,9191306739292312949
1097,Department of Veterans Affairs,383
1098,five-year,391
1099,the Asylum Abuse Reduction Act,390
1100,Canada,384
1101,Mexico,384
1102,at least 1,397
1103,1253(a)(1,397
1104,the Educator Preparation Reform Act,390
1105,section 1111(b)(2,390
1106,less than one,397
1107,"fewer than 10,000",397
1108,less than 20 percent,393
1109,Rural School Achievement Program,383
1110,section 5211(b,390
